# E (eV)  dos(E)    pdos(E)
  -5.000  0.545E+00  0.544E+00
  -4.950  0.127E+01  0.127E+01
  -4.900  0.201E+01  0.200E+01
  -4.850  0.227E+01  0.227E+01
  -4.800  0.307E+01  0.307E+01
  -4.750  0.355E+01  0.354E+01
  -4.700  0.340E+01  0.339E+01
  -4.650  0.481E+01  0.479E+01
  -4.600  0.580E+01  0.579E+01
  -4.550  0.524E+01  0.522E+01
  -4.500  0.690E+01  0.688E+01
  -4.450  0.989E+01  0.987E+01
  -4.400  0.973E+01  0.970E+01
  -4.350  0.594E+01  0.592E+01
  -4.300  0.876E+01  0.873E+01
  -4.250  0.110E+02  0.110E+02
  -4.200  0.720E+01  0.718E+01
  -4.150  0.531E+01  0.529E+01
  -4.100  0.832E+01  0.829E+01
  -4.050  0.104E+02  0.104E+02
  -4.000  0.630E+01  0.628E+01
  -3.950  0.582E+01  0.580E+01
  -3.900  0.167E+02  0.167E+02
  -3.850  0.456E+02  0.456E+02
  -3.800  0.425E+02  0.424E+02
  -3.750  0.574E+02  0.574E+02
  -3.700  0.727E+02  0.727E+02
  -3.650  0.720E+02  0.719E+02
  -3.600  0.342E+02  0.342E+02
  -3.550  0.488E+01  0.487E+01
  -3.500  0.129E+01  0.129E+01
  -3.450  0.152E+01  0.151E+01
  -3.400  0.134E+01  0.133E+01
  -3.350  0.831E+00  0.829E+00
  -3.300  0.505E+00  0.504E+00
  -3.250  0.584E+00  0.582E+00
  -3.200  0.220E+00  0.219E+00
  -3.150  0.438E-01  0.437E-01
  -3.100  0.499E-02  0.498E-02
  -3.050  0.943E-04  0.940E-04
  -3.000  0.243E-06  0.243E-06
  -2.950  0.850E-10  0.848E-10
  -2.900  0.402E-14  0.401E-14
  -2.850  0.257E-19  0.257E-19
  -2.800  0.000E+00  0.000E+00
  -2.750  0.000E+00  0.000E+00
  -2.700  0.000E+00  0.000E+00
  -2.650  0.000E+00  0.000E+00
  -2.600  0.000E+00  0.000E+00
  -2.550  0.000E+00  0.000E+00
  -2.500  0.000E+00  0.000E+00
  -2.450  0.000E+00  0.000E+00
  -2.400  0.000E+00  0.000E+00
  -2.350  0.000E+00  0.000E+00
  -2.300  0.000E+00  0.000E+00
  -2.250  0.000E+00  0.000E+00
  -2.200  0.000E+00  0.000E+00
  -2.150  0.000E+00  0.000E+00
  -2.100  0.000E+00  0.000E+00
  -2.050  0.000E+00  0.000E+00
  -2.000  0.000E+00  0.000E+00
  -1.950  0.000E+00  0.000E+00
  -1.900  0.000E+00  0.000E+00
  -1.850  0.000E+00  0.000E+00
  -1.800  0.000E+00  0.000E+00
  -1.750  0.000E+00  0.000E+00
  -1.700  0.000E+00  0.000E+00
  -1.650  0.000E+00  0.000E+00
  -1.600  0.000E+00  0.000E+00
  -1.550  0.000E+00  0.000E+00
  -1.500  0.000E+00  0.000E+00
  -1.450  0.000E+00  0.000E+00
  -1.400  0.000E+00  0.000E+00
  -1.350  0.000E+00  0.000E+00
  -1.300  0.000E+00  0.000E+00
  -1.250  0.000E+00  0.000E+00
  -1.200  0.404E-18  0.403E-18
  -1.150  0.410E-13  0.409E-13
  -1.100  0.563E-09  0.562E-09
  -1.050  0.105E-05  0.105E-05
